userId,movieId,rating
1,6,2
1,22,3
1,32,2
1,50,5
1,110,4
1,164,3
1,198,3
1,260,5
1,296,4
1,303,3
1,318,3
1,350,3
1,366,2
1,367,4
1,431,2
1,432,2
1,451,1
1,457,4
1,474,3
1,480,4
1,492,3
1,521,3
1,527,4
1,541,4
1,553,3
1,589,5
1,590,2
1,592,3
1,593,5
1,608,5
1,648,5
1,731,1
1,750,3
1,780,5
1,858,5
1,913,3
1,924,2
1,968,4
1,996,2
1,999,4
1,1034,3
1,1036,5
1,1073,3
1,1089,5
1,1092,3
1,1097,5
1,1127,3
1,1129,5
1,1130,3
1,1136,4
1,1196,4
1,1197,4
1,1198,5
1,1199,2
1,1200,3
1,1201,4
1,1206,4
1,1208,3
1,1210,3
1,1214,3
1,1215,4
1,1219,5
1,1220,4
1,1221,5
1,1227,3
1,1234,5
1,1240,5
1,1242,3
1,1252,4
1,1253,3
1,1257,5
1,1258,5
1,1259,3
1,1261,4
1,1262,4
1,1265,4
1,1266,3
1,1270,3
1,1276,3
1,1278,3
1,1283,4
1,1287,3
1,1291,3
1,1304,4
1,1321,5
1,1333,4
1,1347,5
1,1356,3
1,1358,3
1,1372,3
1,1374,3
1,1376,3
1,1378,3
1,1387,5
1,1394,2
1,1396,4
1,1407,3
1,1500,4
1,1527,3
1,1573,5
1,1580,5
1,1589,3
1,1597,3
1,1610,3
1,1617,3
1,1625,3
1,1627,3
1,1645,2
1,1689,3
1,1732,2
1,1748,2
1,1754,2
1,1799,3
1,1805,3
1,1876,3
1,1892,3
1,1909,3
1,1953,4
1,1954,5
1,1965,3
1,1982,4
1,1994,5
1,1997,3
1,2000,4
1,2001,3
1,2003,4
1,2009,5
1,2011,4
1,2012,3
1,2028,3
1,2076,3
1,2118,4
1,2130,2
1,2167,3
1,2194,3
1,2248,2
1,2267,3
1,2268,3
1,2288,3
1,2347,3
1,2391,4
1,2401,4
1,2407,5
1,2467,3
1,2478,1
1,2527,3
1,2529,5
1,2532,3
1,2542,2
1,2553,3
1,2571,4
1,2580,3
1,2664,4
1,2692,2
1,2701,1
1,2713,2
1,2716,5
1,2764,2
1,2782,4
1,2791,4
1,2804,5
1,2812,3
1,2858,4
1,2901,5
1,2912,3
1,2916,5
1,2917,3
1,2921,4
1,2922,5
1,2944,4
1,2947,4
1,2948,4
1,2951,5
1,2968,2
1,2973,2
1,2985,3
1,2987,3
1,3018,3
1,3032,3
1,3044,4
1,3074,3
1,3104,4
1,3147,4
1,3168,3
1,3272,1
1,3273,3
1,3362,3
1,3363,3
1,3386,3
1,3424,2
1,3471,4
1,3476,2
1,3508,3
1,3527,4
1,3543,3
1,3550,3
1,3551,5
1,3576,3
1,3578,5
1,3668,3
1,3681,5
1,3682,3
1,3699,5
1,3701,3
1,3702,3
1,3703,3
1,3706,2
1,3735,3
1,3763,4
1,3793,2
1,3827,2
1,3836,3
1,3839,4
1,3917,4
1,3927,3
1,4037,3
1,4041,4
1,4043,3
1,4082,3
1,4085,4
1,4086,3
1,4105,5
1,4121,3
1,4126,3
1,4128,5
1,4132,3
1,5060,5
2,2,4
2,32,3
2,34,5
2,50,4
2,105,5
2,153,4
2,349,4
2,364,5
2,500,4
2,552,3
2,648,5
2,736,3
2,762,2
2,858,4
2,953,5
2,1101,3
2,1249,4
2,1275,5
2,1356,1
2,1374,1.5
2,1375,1
2,1377,4
2,1387,4
2,1584,4
2,1625,5
2,1645,4
2,1653,5
2,1721,4
2,1777,4
2,1894,3
2,1923,5
2,1997,5
2,2028,4
2,2053,3
2,2067,5
2,2115,4
2,2268,4
2,2291,5
2,2294,5
2,2384,4
2,2396,4
2,2406,4
2,2496,4
2,2617,4
2,2640,5
2,2712,3
2,2804,3
2,3100,5
2,3101,5
2,3408,3
2,3623,4.5
2,3996,3
2,5218,4
2,5299,4
2,7153,4.5
3,3,4
3,5,4
3,7,4
3,17,4
3,34,5
3,39,4
3,45,3
3,46,3
3,48,1
3,110,5
3,224,3
3,236,5
3,260,5
3,261,5
3,265,4
3,266,5
3,289,3
3,339,5
3,356,5
3,364,5
3,367,2
3,377,5
3,417,4
3,440,4
3,497,5
3,500,5
3,588,5
3,594,5
3,595,5
3,597,4
3,605,3
3,708,4
3,830,5
3,838,3
3,898,4
3,899,5
3,900,4
3,901,5
3,914,5
3,915,5
3,916,5
3,918,5
3,920,5
3,928,5
3,934,5
3,938,5
3,955,5
3,1014,5
3,1022,5
3,1024,4
3,1028,5
3,1029,5
3,1031,3
3,1032,3
3,1035,5
3,1043,3
3,1059,1
3,1073,5
3,1196,3
3,1210,4
3,1230,5
3,1243,2
3,1247,5
3,1282,3
3,1285,3
3,1296,5
